"","dtime","bela_co2_flux","C.mod.flux","NEP_gC","DIC_pred","DIC_sat","oxy","oxysat","bela_co2_conc","bela_co2_sat"
"495",2019-08-13 14:20:00,1.67660933586395,-0.298957288131021,6.09876247064486,5.30792774623223,5.08352610078285,12.269,8.15636471507706,0.733061924305192,0.0123378411723468
"496",2019-08-13 14:30:00,1.68018165583421,-0.301724213535724,6.0350377647676,5.30751810938546,5.0820976509468,12.301,8.12090681666262,0.730933364238509,0.0122710523669639
"497",2019-08-13 14:40:00,1.65857182212271,-0.303866572210545,5.95640261678527,5.30582043091601,5.08080912197597,12.323,8.09795629595695,0.720438555319506,0.0122114324118467
"498",2019-08-13 14:50:00,1.65111367248413,-0.306121431891764,5.86300674802844,5.30496815284491,5.07973323688929,12.319,8.06838715075953,0.715389547747614,0.0121621004798714
"499",2019-08-13 15:00:00,1.65716582069368,-0.307565368426576,5.75502798475496,5.30484462465089,5.07865543711676,12.061,8.04968379730167,0.715013032886617,0.0121130853461498
"500",2019-08-13 15:10:00,1.64873929627726,-0.308590523378434,5.63267191947924,5.30408961362005,5.07793584226721,12.298,8.02708633386533,0.710487283299812,0.0120805833853575
"501",2019-08-13 15:20:00,1.64827582422163,-0.309105895941612,5.49617151949541,5.30376448387842,5.07721539953424,12.305,8.00317884521838,0.708704364590557,0.0120482204241068
"502",2019-08-13 15:30:00,1.64480011554912,-0.30957564382979,5.34578668341148,5.30333614354253,5.0766384357165,12.311,7.987414918879,0.706221523134992,0.0120224296560769
"503",2019-08-13 15:40:00,1.65850746606543,-0.309880009527354,5.18180374639579,5.30383719305556,5.07606093070762,12.338,7.98081034344031,0.709605715805082,0.0119967270292608
"504",2019-08-13 15:50:00,1.65068191370344,-0.310058298050606,5.00453493461226,5.30326462824482,5.07569971554414,12.294,7.96904031014415,0.706130153248407,0.0119807074862766
"505",2019-08-13 16:00:00,1.66079564785308,-0.310659822121105,4.81431777110548,5.30378055324768,5.07562744718792,12.221,7.96387115697492,0.709413316859525,0.0119775076846496
"506",2019-08-13 16:10:00,1.67866886233497,-0.311767806927518,4.61151443320428,5.30482937001351,5.07584422693691,12.142,7.97562776652332,0.715990457501652,0.0119871111943953
"507",2019-08-13 16:20:00,1.68685849556237,-0.313214900645625,4.39651106246017,5.30544600372753,5.07627755846534,12.1,7.99670902294738,0.719766658784929,0.0120063552082151
"508",2019-08-13 16:30:00,1.71219941361049,-0.314543782210433,4.1697170299789,5.3070276371606,5.07685486060399,11.986,8.0019157180304,0.729745587223509,0.0120320908455997
"509",2019-08-13 16:40:00,1.75629908265744,-0.316247694895853,3.93156415655776,5.30962895305864,5.07757572680784,11.832,8.02042396485049,0.746522643595257,0.0120643845743985
"510",2019-08-13 16:50:00,1.71908117976537,-0.31541394294834,3.68250589095646,5.30721009648961,5.07642193472395,11.74,8.04298838728982,0.731095872118393,0.0120127808613946
"511",2019-08-13 17:00:00,1.72724393467618,-0.313228912637194,3.42301644585138,5.30680061840034,5.07439759515061,11.651,8.0576673302732,0.729213262358255,0.0119233196918038
"512",2019-08-13 17:10:00,1.74927221543792,-0.314178803877577,3.15358989549907,5.30815862853505,5.07490429974018,11.459,8.09119001385294,0.737862581095778,0.0119455847573902
"513",2019-08-13 17:20:00,1.77215882363045,-0.314738466364932,2.87473923505089,5.30943091006311,5.07512133249819,11.334,8.10877079496467,0.746149433590495,0.0119551473199647
"514",2019-08-13 17:30:00,1.76939384292019,-0.316092572711833,2.58699540314006,5.30970695482108,5.07613314840779,11.289,8.1183151123222,0.74758986658693,0.0119999350497424
"515",2019-08-13 17:40:00,1.76608325940487,-0.320018896309891,2.29090627173038,5.31076213902983,5.07908678652394,11.214,8.13860170295996,0.753482237429577,0.0121326535402637
"516",2019-08-13 17:50:00,1.77560173698859,-0.322894935594754,1.98703560251394,5.31235876652844,5.08174000379014,11.117,8.17419625083367,0.763200734116317,0.012254444907124
"517",2019-08-13 18:00:00,1.76225483817846,-0.32375568249824,1.67596197360903,5.31233099302544,5.08331205168242,10.989,8.21138812128375,0.76241530198615,0.0123277860980032
"518",2019-08-13 18:10:00,1.79803709750822,-0.323588610273962,1.35827767780438,5.31461376156647,5.08438152533986,10.862,8.24338659330391,0.777570219018806,0.0123781919056839
"519",2019-08-13 18:20:00,1.82402322782576,-0.3231810480024,1.03458759520337,5.31646975794072,5.08566234325753,10.742,8.25871738611999,0.789929741420967,0.0124391115505445
"520",2019-08-13 18:30:00,1.86387690567133,-0.322111884034949,0.705508041263864,5.31900521326795,5.08694037265418,10.627,8.29373286193896,0.807271561895583,0.0125005073840999
"521",2019-08-13 18:40:00,1.8924023972202,-0.320518285219924,0.371665592928433,5.32086760404765,5.08800326239544,10.442,8.31074841347713,0.820166683338407,0.0125520375583509
"522",2019-08-13 18:50:00,1.9102542017712,-0.318463251955566,0.0336958962487983,5.32207537544058,5.08878147919035,10.198,8.32782579577604,0.828587504282876,0.0125900400079547
"523",2019-08-13 19:00:00,1.9554175017101,-0.315788862053871,-0.30775754388836,5.32460242443709,5.08955864882234,10.058,8.3534733763726,0.846756447515957,0.0126282244068479
"524",2019-08-13 19:10:00,2.00327219136092,-0.312974123363568,-0.652044589678452,5.32725826658094,5.09040527431801,9.922,8.37207417990711,0.866171926844703,0.0126700888563521
"525",2019-08-13 19:20:00,2.05364454753524,-0.309729580941178,-0.998509707892993,5.32994067023806,5.09110984104635,9.79,8.39092006391044,0.886177439284111,0.0127051432432422
"526",2019-08-13 19:30:00,2.09436125732762,-0.306268050700029,-1.34649321774992,5.33217419960271,5.09188386091269,9.635,8.41553221865642,0.903022711065896,0.0127438797937711
"527",2019-08-13 19:40:00,2.16486608527427,-0.302972322874011,-1.69533254723833,5.33581166342434,5.09279725447175,9.486,8.43576465862739,0.931074277811718,0.012789899465179
"528",2019-08-13 19:50:00,2.22996201179043,-0.299546328640551,-2.04436349510013,5.33915286161175,5.09370917568856,9.302,8.46357272781517,0.957337563999859,0.0128361809416572
"529",2019-08-13 20:00:00,2.30615803598554,-0.296692055014022,-2.39292149465166,5.34306683575934,5.09489946294001,9.125,8.50049365684305,0.988679402789973,0.0128971008813896
"530",2019-08-13 20:10:00,2.36048000698465,-0.294027554574962,-2.74034287969867,5.3461044095342,5.09636632974505,8.937,8.52126596682066,1.01325956187123,0.0129729832719601
"531",2019-08-13 20:20:00,2.44378402629527,-0.290815217638795,-3.08596614804392,5.35027605824187,5.09762056971166,8.747,8.56165798690217,1.04790829526371,0.0130385835254988
"532",2019-08-13 20:30:00,2.53624999633293,-0.287205786565348,-3.42913322100629,5.35475475082731,5.09880251889917,8.529,8.58734388546195,1.08593397766619,0.0131010171120279
"533",2019-08-13 20:40:00,2.6212534722265,-0.283748988130367,-3.76919069642757,5.35893353434873,5.10012051430583,8.34,8.64057362387282,1.12202831823082,0.0131713503221962
"534",2019-08-13 20:50:00,2.71127429064261,-0.279912661034033,-4.10549109290677,5.36324856379455,5.10136620900046,8.101,8.66359162230846,1.16000748625466,0.0132385268436833
