"","code","MinFrom0","SpC_corr","DOC_conc","Delta.13C","AF_corr","doc_13C","delCO2","co2AF_corr","DIC13","removed_c"
"85","b_g2_up",240,5.77722772277228,2.03,36.762,0.000438582370884096,0.000890322212894714,-13.37950281,0.000104058534211703,0.00716963300718635,0.00736286024820854
"86","b_g2_up",282,1.92574257425743,1.96,20.944,0.000264872233280575,0.000519149577229927,-14.37881577,9.30738512219843e-05,0.00641278834919472,0.00223191124313783
"87","b_g2_up",303,-1.07425742574257,2.95,-14.401,-0.00012350025919371,-0.000364325764621445,-15.19200858,8.41348646086447e-05,0.00579689217153562,-0.00117032770072509
"88","b_g2_up",333.55,-1.07425742574257,58.6,-23.434,-0.000222804240059537,-0.0130563284674888,-16.16835696,7.34021840207988e-05,0.00505741047903304,0.0115216750021423
"89","b_g2_up",390,-2.07425742574257,3.53,-16.234,-0.000143649670327118,-0.000507083336254725,-17.50064338,5.87564163903875e-05,0.0040483170892977,-0.00245614155766324
"90","b_g2_up",450,-0.074257425742573,2.57,-15.41,-0.0001345916774381,-0.000345900611015918,-17.71963205,5.63490418012229e-05,0.00388244898010426,0.000239818574240813
"91","b_g2_up",585,1.92574257425743,2.36,-13.59,-0.000114585533478085,-0.000270421859008281,-18.66282203,4.59802819903835e-05,0.00316804142913742,0.00302148267937603
"92","b_g2_up",720,NA,NA,NA,NA,NA,-20.92143758,2.11497854080301e-05,0.00145722021461327,0
"93","b_g2_up",720,NA,NA,NA,NA,NA,-20.19690926,2.91151537195177e-05,0.00200603409127477,0
"94","b_g2_up",1440,NA,NA,NA,NA,NA,-22.01930007,9.07978623373822e-06,0.000625597271504563,0
"95","b_g2_up",1440,NA,NA,NA,NA,NA,-22.01428053,9.13497217928418e-06,0.00062939958315268,0
"96","b_g2_down",40,3.91218637992835,6.21,-20.675,-4.39755634629169e-07,-2.73088249104714e-06,-20.33386275,6.76783159339264e-07,4.66303596784753e-05,0.00559156856810298
"97","b_g2_down",50,3.4318996415771,5.94,-20.595,4.3975524360168e-07,2.61214614699398e-06,-20.41783788,-2.464245264025e-07,-1.69786498691322e-05,0.00490010162753457
"98","b_g2_down",60,2.95161290322584,2.42,-13.978,7.31808841740837e-05,0.000177097739701283,-20.14785643,2.72169751574028e-06,0.000187524958834505,0.00403949212204992
"99","b_g2_down",70,2.47132616487458,1.95,-0.842,0.000217554123957105,0.000424230541716355,-20.35222675,4.74892747534192e-07,3.27201103051058e-05,0.00310623540810448
"100","b_g2_down",80,2.99103942652333,2.28,9.257,0.00032852009019509,0.000749025805644805,-20.72533158,-3.62697043755807e-06,-0.000249898263147751,0.00352388766081709
"101","b_g2_down",85,4.2508960573477,2.17,36.055,0.000622850936223905,0.00135158653160587,-18.61246793,1.96011127676175e-05,0.00135051666968884,0.00472112212174799
"102","b_g2_down",90,8.51075268817207,2.09,121.329,0.00155827720399827,0.00325679935635638,-18.39019468,2.20446436337424e-05,0.00151887594636485,0.00890141876960373
"103","b_g2_down",95,15.7706093189964,5.72,79.822,0.00110318102790772,0.00631019547963218,-14.2075604,6.80236159571034e-05,0.00468682713944442,0.0162192464046485
"104","b_g2_down",100,26.0304659498208,2.06,426.657,0.00489315048113313,0.0100798899911343,-14.60304085,6.36763510337597e-05,0.00438730058622604,0.0271064899371812
"105","b_g2_down",105,33.2903225806452,2.04,524.799,0.00596030525949705,0.012159022729374,-12.00551228,9.22286308883483e-05,0.0063545526682072,0.035398580957262
"106","b_g2_down",110,41.5501792114696,2.24,644.559,0.00725939429713058,0.0162610432255725,-10.54226885,0.000108312015268116,0.00746269785197319,0.0430963556479554
"107","b_g2_down",115,48.8100358422939,2.31,647.491,0.00729115592944466,0.0168425701970172,-6.615172408,0.000151474497125118,0.0104365928519206,0.0528860524348313
"108","b_g2_down",120,54.0698924731183,1.84,143.65,0.00180283856095907,0.00331722295216469,-4.900457507,0.000170319644322832,0.0117350234938431,0.0739254805808615
"109","b_g2_down",125,57.3297491039427,2.08,793.112,0.00886605097938995,0.0184413860371311,-4.707486025,0.000172440404389657,0.0118811438624473,0.0634582555399299
"110","b_g2_down",130,59.589605734767,2.24,715.592,0.00802829953305252,0.0179833909540376,-3.335808563,0.000187514902318062,0.0129197767697145,0.0671446172384867
"111","b_g2_down",136,58.9014336917563,5.89,215.362,0.0025877362758637,0.0152417666648372,-0.705137391,0.000216424237419266,0.0149116299581874,0.0689031386091004
"112","b_g2_down",140,59.1093189964158,2.18,628.24,0.0070825770428996,0.0154400179535211,-4.409619762,0.000175713942135135,0.0121066906131108,0.0690018663270729
"113","b_g2_down",145,58.3691756272402,2.33,492.396,0.00560822466898283,0.01306716347873,-0.621622462,0.000217341983534493,0.0149748626655266,0.0703173731316131
"114","b_g2_down",150,57.6290322580645,2.96,39.988,0.000666033564765429,0.00197145935170567,1.659581391,0.000242409489266293,0.0167020138104476,0.0803557295883865
"115","b_g2_down",155,54.8888888888889,2.17,397.413,0.0045747153914669,0.00992713239948317,-0.505872994,0.000218613952398574,0.0150625013202618,0.0684855660132153
