time,white_co2,bela_co2,white_temp,bela_temp
8/11/19 5:20:00,3922.04,3788.93,16.95,18.48
8/11/19 5:30:00,3906.34,3801.57,16.94,18.44
8/11/19 5:40:00,3900.85,3763.99,16.9,18.38
8/11/19 5:50:00,3892.53,3775.62,16.88,18.36
8/11/19 6:00:00,3890.46,3768.79,16.86,18.36
8/11/19 6:10:00,3882.84,3749.83,16.84,18.34
8/11/19 6:20:00,3868.62,3743.75,16.82,18.33
8/11/19 6:30:00,3868.84,3745.86,16.82,18.31
8/11/19 6:40:00,3854.11,3733.24,16.84,18.31
8/11/19 6:50:00,3841.98,3748.98,16.84,18.3
8/11/19 7:00:00,3824.81,3688.63,16.83,18.3
8/11/19 7:10:00,3788.18,3646.67,16.85,18.32
8/11/19 7:20:00,3739.53,3618.46,16.87,18.32
8/11/19 7:30:00,3700.98,3560.79,16.89,18.32
8/11/19 7:40:00,3651.68,3475.58,16.93,18.35
8/11/19 7:50:00,3590.09,3392.11,16.96,18.37
8/11/19 8:00:00,3557.02,3317.9,16.99,18.39
8/11/19 8:10:00,3485.02,3245.43,16.99,18.41
8/11/19 8:20:00,3410.79,3156.14,17.03,18.44
8/11/19 8:30:00,3342.91,3083.44,17.09,18.48
8/11/19 8:40:00,3283.43,3014.24,17.13,18.5
8/11/19 8:50:00,3223.17,2951.79,17.13,18.52
8/11/19 9:00:00,3170.9,2892.74,17.18,18.59
8/11/19 9:10:00,3105.42,2831.12,17.24,18.64
8/11/19 9:20:00,3039.22,2757,17.29,18.68
8/11/19 9:30:00,2987.61,2699.59,17.32,18.71
8/11/19 9:40:00,2927.58,2632.15,17.4,18.76
8/11/19 9:50:00,2871.32,2568.58,17.45,18.83
8/11/19 10:00:00,2821.7,2497.07,17.48,18.89
8/11/19 10:10:00,2752.16,2430.04,17.56,18.98
8/11/19 10:20:00,2684.8,2364.2,17.67,19.08
8/11/19 10:30:00,2625.13,2300.02,17.76,19.18
8/11/19 10:40:00,2567.76,2233.2,17.84,19.29
8/11/19 10:50:00,2512.68,2167.94,17.93,19.41
8/11/19 11:00:00,2456.17,2096.98,18.04,19.51
8/11/19 11:10:00,2391.08,2047.07,18.14,19.61
8/11/19 11:20:00,2336.01,1971.97,18.25,19.71
8/11/19 11:30:00,2277.83,1941.18,18.37,19.82
8/11/19 11:40:00,2229.43,1872.52,18.5,19.96
8/11/19 11:50:00,2172.2,1851.33,18.63,20.09
8/11/19 12:00:00,2138.8,1813.52,18.78,20.29
8/11/19 12:10:00,2094.13,1794.79,19.07,20.68
8/11/19 12:20:00,2060.02,1736.45,19.3,20.91
8/11/19 12:30:00,2038.79,1710.45,19.59,21.32
8/11/19 12:40:00,2012.44,1676.3,19.91,21.66
8/11/19 12:50:00,1993.76,1665.51,20.25,22.09
8/11/19 13:00:00,1971.44,1648.01,20.63,22.47
8/11/19 13:10:00,1964.56,1632.97,21,22.77
8/11/19 13:20:00,1935.15,1604.09,21.33,22.94
8/11/19 13:30:00,1927.52,1616.09,21.66,23.15
8/11/19 13:40:00,1914.18,1578.58,21.84,23.16
8/11/19 13:50:00,1893.34,1565.66,21.92,23.15
8/11/19 14:00:00,1878.95,1566.68,21.99,23.11
8/11/19 14:10:00,1863.47,1568.27,22.03,23.1
8/11/19 14:20:00,1858.17,1578.85,22.06,23.25
8/11/19 14:30:00,1857.79,1563.81,22.1,23.46
8/11/19 14:40:00,1855.13,1543.73,22.09,23.59
8/11/19 14:50:00,1851.86,1518.33,22.06,23.63
8/11/19 15:00:00,1855.62,1526.63,22.04,23.65
8/11/19 15:10:00,1843.64,1521.23,22.08,23.76
8/11/19 15:20:00,1836.65,1507.56,22.11,23.87
8/11/19 15:30:00,1832.62,1500.55,22.1,23.88
8/11/19 15:40:00,1842.54,1490.06,22.01,23.78
8/11/19 15:50:00,1854.58,1499.36,21.9,23.67
8/11/19 16:00:00,1873.15,1511.49,21.82,23.54
